dp,tame_bits,tame_ratio,runs,median_speed_MKeys,max_speed_MKeys,median_real_s,median_rss_kb
14,4,25,5,755.000,784.000,66.040,745940
14,4,33,5,740.000,744.000,100.080,821616
14,4,40,5,740.000,753.000,85.440,787120
14,5,25,5,753.000,755.000,93.070,806608
14,5,33,5,759.000,761.000,60.130,728480
14,5,40,5,760.000,762.000,91.140,805548
15,4,25,5,763.000,765.000,88.580,687048
15,4,33,5,755.000,759.000,56.670,645252
15,4,40,5,760.000,764.000,66.400,657748
15,5,25,5,749.000,765.000,54.610,641992
15,5,33,5,736.000,740.000,121.550,725884
15,5,40,5,736.000,738.000,52.380,638124
16,4,25,5,735.000,736.000,98.060,633456
16,4,33,5,731.000,733.000,82.430,623392
16,4,40,5,732.000,733.000,60.760,609024
16,5,25,5,736.000,751.000,80.850,622144
16,5,33,5,762.000,763.000,81.740,624944
16,5,40,5,769.000,778.000,109.390,644316
